Chile,,,,,,
period,my_month,year,source,deuda_total,deuda_interna,deuda_externa
"01 September, 2012",September,2012,Pesos,6198000000,5274800000,923200000
"01 September, 2012",September,2012,Otras,800000,0,800000
"01 September, 2013",September,2013,Dólares USA,2121569450,0,2121569450
"01 September, 2013",September,2013,UF,11213752550,11213752550,0
"01 September, 2013",September,2013,Euros,480700000,0,480700000
"01 September, 2013",September,2013,Pesos,3603750150,3171568400,4749800000
"01 September, 2013",September,2013,Otras,3850000,0,3850000
"01 September, 2014",September,2014,Dólares USA,4198700000,0,4198700000
"01 September, 2014",September,2014,UF,20931900000,20931900000,0
"01 September, 2014",September,2014,Euros,76300000,0,76300000
"01 September, 2014",September,2014,Pesos,7626200000,6904300000,721900000
"01 September, 2014",September,2014,Otras,600000,0,600000
"01 September, 2015",September,2015,Dólares USA,4708400000,0,4708400000
"01 September, 2015",September,2015,UF,20870600000,20870600000,0
"01 September, 2015",September,2015,Euros,2538200000,0,1269226910
"01 September, 2015",September,2015,Pesos,9373200000,8756800000,616400000
"01 September, 2015",September,2015,Otras,400000,0,400000
"01 September, 2016",September,2016,Dólares USA,5797400000,0,5797400000
"01 September, 2016",September,2016,UF,25255700000,25255700000,0
"01 September, 2016",September,2016,Euros,3870800000,0,3870800000
"01 September, 2016",September,2016,Pesos,17620600000,16961600000,659000000
"01 September, 2016",September,2016,Otras,2000000,0,400000
"01 September, 2016",September,2016,UTM,1600000,1600000,0
"01 September, 2017",September,2017,Dólares USA,7145900000,0,7145900000
"01 September, 2017",September,2017,UF,28579200000,28579200000,0
"01 September, 2017",September,2017,Euros,4886300000,0,4886300000
"01 September, 2017",September,2017,Pesos,24192100000,23510100000,682000000
"01 September, 2017",September,2017,Otras,1300000,0,300000
"01 September, 2017",September,2017,UTM,1000000,1000000,0
"01 September, 2018",September,2018,Dólares USA,8233100000,0,8233100000
"01 September, 2018",September,2018,UF,31868300000,31868300000,0
"01 September, 2018",September,2018,Euros,5795800000,0,5795800000
"01 September, 2018",September,2018,Pesos,25162300000,24505700000,656600000
"01 September, 2018",September,2018,Otras,900000,0,200000
"01 September, 2018",September,2018,UTM,700000,700000,0
"01 September, 2019",September,2019,Dólares USA,8763400000,0,8763400000
"01 September, 2019",September,2019,UF,30788100000,30788100000,0
"01 September, 2019",September,2019,Euros,6370100000,30788100000,6370100000
"01 September, 2019",September,2019,Pesos,28832200000,28307900000,524300000
"01 September, 2019",September,2019,Otras,500000,0,200000
"01 September, 2019",September,2019,UTM,300000,300000,0
"01 September, 2019",September,2019,Dólares USA,8763400000,0,8763400000
"01 September, 2020",September,2020,Dólares USA,11230700000,0,11230700000
"01 September, 2020",September,2020,UF,27957300000,27957300000,0
"01 September, 2020",September,2020,Euros,9163700000,0,9163700000
"01 September, 2020",September,2020,Pesos,34219200000,34219200000,0
"01 September, 2020",September,2020,Otras,100000,0,100000
"01 September, 2020",September,2020,UTM,0,0,0
"01 September, 2021",September,2021,Dólares USA,21694800000,0,21694800000
"01 September, 2021",September,2021,UF,29716100000,29716100000,0
"01 September, 2021",September,2021,Euros,14062200000,0,14062200000
"01 September, 2021",September,2021,Pesos,37427400000,37427400000,0
"01 September, 2021",September,2021,Otras,100000,0,100000
"01 September, 2021",September,2021,UTM,0,0,0
