month,year,period,full_date
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2019,"1 March, march_2019",2019-03-01
June,june_2019,"1 June, june_2019",2019-06-01
September,september_2019,"1 September, september_2019",2019-09-01
December,december_2019,"1 December, december_2019",2019-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
March,march_2020,"1 March, march_2020",2020-03-01
June,june_2020,"1 June, june_2020",2020-06-01
September,sept_2020,"1 September, sept_2020",2020-09-01
December,dec_2020,"1 December, dec_2020",2020-12-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,december_2009,"1 December, december_2009",2009-12-01
March,march_2010,"1 March, march_2010",2010-03-01
June,june_2010,"1 June, june_2010",2010-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
June,june_2011,"1 June, june_2011",2011-06-01
December,dec_2010,"1 December, dec_2010",2010-12-01
March,march_2011,"1 March, march_2011",2011-03-01
